000001-color.png 269,354, 70,318, 60,273,205,282,206,320,176,316,227,255,201,257, 99,286
000007-color.png 272,354, 74,318, 63,273,209,282,210,320,180,316,231,255,204,257,103,287
000013-color.png 277,351, 78,315, 68,270,213,279,214,317,184,313,235,252,209,255,107,284
000019-color.png 278,353, 80,316, 70,271,215,281,216,319,186,315,237,254,210,256,109,285
000025-color.png 279,352, 82,316, 71,271,216,280,217,319,187,314,238,254,211,256,110,285
000031-color.png 278,344, 80,308, 69,264,214,273,215,311,186,307,236,246,210,248,108,278
000037-color.png 288,341, 90,304, 79,260,224,269,225,308,196,303,246,243,219,245,118,274
000043-color.png 294,335, 97,297, 86,253,230,263,231,302,201,297,251,237,225,239,124,267
000049-color.png 289,330, 92,291, 81,247,225,258,225,297,196,292,246,232,220,234,119,262
000055-color.png 289,329, 92,289, 81,245,226,256,226,295,197,290,246,230,220,232,119,259
000061-color.png 290,324, 93,283, 81,239,226,251,226,289,197,284,247,225,220,227,119,254
000067-color.png 289,318, 91,276, 80,231,225,245,224,283,196,278,246,219,219,220,118,247
000073-color.png 284,308, 86,267, 74,222,220,235,219,273,191,268,240,209,214,211,112,237
000079-color.png 295,310, 97,268, 85,223,231,237,230,275,201,270,251,211,224,212,123,238
000085-color.png 303,312,105,269, 92,224,238,238,238,277,209,271,259,212,232,214,131,240
000091-color.png 302,311,103,268, 91,222,237,237,236,276,208,270,257,211,231,212,129,238
000097-color.png 304,315,106,271, 93,226,240,240,239,279,210,273,260,214,233,215,132,241
000103-color.png 307,317,109,273, 97,228,243,242,242,281,213,275,263,216,236,218,135,243
000109-color.png 314,322,117,277,104,232,249,247,248,285,220,280,269,221,242,222,142,247
000115-color.png 325,327,129,282,116,236,261,252,259,290,231,284,280,225,253,227,153,251
000121-color.png 332,332,136,286,123,240,267,256,266,294,238,289,286,230,260,231,160,255
000127-color.png 335,334,140,287,126,240,271,258,269,296,241,291,289,232,263,233,163,256
000133-color.png 334,337,139,290,125,243,270,261,267,299,240,293,288,235,262,235,162,259
000139-color.png 333,340,138,293,124,246,268,264,266,302,239,296,286,237,260,238,161,262
000145-color.png 329,339,134,293,119,247,264,263,262,301,235,296,282,237,255,238,156,262
000151-color.png 324,336,129,291,115,245,259,261,257,299,230,294,277,234,251,235,152,260
000157-color.png 320,333,125,288,110,242,254,258,252,296,225,291,272,231,246,232,147,257
000163-color.png 317,327,121,284,106,238,251,253,249,291,222,286,268,226,242,228,143,253
000169-color.png 313,323,117,282,101,236,246,249,245,287,218,283,263,223,237,224,138,251
000175-color.png 310,322,114,282, 97,236,243,249,241,287,215,282,259,222,233,224,135,251
000181-color.png 308,322,112,284, 95,238,240,250,239,288,212,283,256,223,230,225,132,253
000187-color.png 308,323,111,286, 93,241,239,251,238,289,211,285,254,224,228,226,131,255
000193-color.png 303,319,106,284, 88,239,234,247,233,285,207,282,249,220,223,223,126,253
000199-color.png 306,317,109,285, 90,240,235,247,235,285,209,281,250,220,224,222,127,253
000205-color.png 308,307,111,276, 91,231,237,237,237,275,210,272,251,210,225,213,129,244
000211-color.png 297,305,100,276, 80,231,225,236,226,274,199,271,239,209,213,212,117,244
000217-color.png 294,309, 96,280, 75,236,221,241,222,278,195,275,235,213,209,216,113,248
000223-color.png 296,305, 98,278, 77,234,223,237,224,275,197,272,235,209,210,213,114,246
000229-color.png 295,298, 96,274, 74,230,220,231,221,269,195,266,232,203,206,207,111,242
000235-color.png 293,301, 95,278, 71,233,218,234,219,272,193,269,229,206,204,210,109,245
000241-color.png 286,309, 88,288, 64,244,210,243,212,281,186,279,221,215,195,219,101,255
000247-color.png 285,321, 87,303, 62,260,208,256,210,294,184,292,218,228,193,233, 99,270
000253-color.png 283,313, 84,297, 59,254,205,250,207,287,182,286,215,221,190,226, 97,264
000259-color.png 294,314, 96,300, 69,257,215,251,218,288,192,287,224,222,199,227,107,267
000265-color.png 309,317,110,305, 83,262,228,254,232,292,206,291,237,226,212,231,120,271
000271-color.png 318,310,119,299, 91,256,237,248,240,285,215,285,245,219,220,225,129,265
000277-color.png 325,316,126,307, 97,265,243,255,246,293,221,292,250,227,225,232,135,274
000283-color.png 320,310,121,302, 92,260,237,249,241,287,216,287,244,221,219,227,129,269
000289-color.png 318,307,119,300, 89,259,234,247,239,285,214,284,241,219,216,225,126,267
000295-color.png 323,308,124,303, 93,262,239,249,243,286,218,286,244,221,220,227,131,270
000301-color.png 332,315,133,312,101,270,247,256,251,294,227,294,252,228,227,234,139,278
000307-color.png 337,317,138,314,106,273,251,259,256,296,231,297,256,230,231,237,143,281
000313-color.png 335,315,136,314,104,273,249,258,254,295,229,295,253,229,229,236,141,280
000319-color.png 338,312,139,312,106,272,251,255,256,293,232,293,255,227,231,234,143,279
000325-color.png 343,305,143,305,110,265,255,248,261,286,236,286,259,220,235,227,148,272
000331-color.png 341,308,142,309,108,268,253,252,258,289,234,290,257,223,232,230,145,276
000337-color.png 337,310,138,311,104,270,249,253,254,291,230,291,252,225,228,231,141,277
000343-color.png 338,314,138,317,104,277,249,259,254,296,231,297,252,230,228,237,141,284
000349-color.png 356,332,157,338,121,298,266,277,272,315,248,316,267,249,243,256,158,304
000355-color.png 343,315,143,321,107,281,253,260,258,298,235,299,254,232,230,239,145,287
000361-color.png 341,317,142,323,106,284,251,263,257,300,233,301,252,235,228,242,143,290
000367-color.png 344,321,145,329,108,290,253,268,259,306,236,307,254,240,230,247,145,296
000373-color.png 349,322,149,331,112,292,257,269,263,307,240,308,257,241,234,249,149,298
000379-color.png 351,319,152,330,114,291,259,267,265,305,242,306,259,239,235,247,151,297
000385-color.png 348,314,148,325,110,286,255,262,262,300,239,301,255,234,231,242,147,292
000391-color.png 345,309,145,319,107,281,252,257,259,295,236,296,252,229,228,237,144,286
000397-color.png 341,312,141,324,103,285,248,261,255,298,232,300,248,233,224,241,140,291
000403-color.png 348,319,149,331,110,293,255,268,262,306,239,307,254,240,231,248,147,298
000409-color.png 347,319,147,329,108,290,254,267,260,304,237,306,253,239,229,247,145,296
000415-color.png 346,316,146,326,107,287,252,264,259,301,236,302,252,236,228,243,144,293
000421-color.png 347,316,147,326,108,288,253,264,259,302,237,303,252,236,228,244,145,294
000427-color.png 343,310,143,321,104,282,249,258,256,296,233,297,248,230,224,238,141,288
000433-color.png 344,307,145,319,105,281,250,256,256,294,234,295,248,228,225,236,141,286
000439-color.png 344,303,144,315,104,277,249,252,256,290,234,291,248,224,224,232,141,283
000445-color.png 344,302,144,315,103,277,249,251,255,289,233,290,246,223,223,231,140,282
000451-color.png 342,310,143,323,102,285,247,259,254,297,232,298,245,231,221,240,138,291
000457-color.png 339,321,139,333, 98,295,244,270,250,307,228,309,241,242,218,250,135,301
000463-color.png 341,313,141,327,100,289,245,263,252,301,230,302,243,235,219,243,136,295
000469-color.png 334,301,134,316, 92,278,238,251,245,289,223,291,235,224,211,232,129,283
000475-color.png 337,301,137,315, 95,277,241,251,247,289,225,290,238,223,214,231,132,282
000481-color.png 343,298,143,310,101,273,246,247,253,285,231,286,243,219,220,228,137,278
000487-color.png 341,296,141,308, 99,270,245,245,251,283,229,284,241,218,218,226,135,276
000493-color.png 342,290,142,302, 99,264,246,239,252,277,230,278,242,212,219,219,136,270
000499-color.png 340,287,139,297, 97,259,243,235,249,274,228,274,240,208,216,216,133,265
000505-color.png 343,287,143,296,100,257,247,234,252,272,231,273,243,207,220,214,137,263
000511-color.png 346,288,146,294,104,254,251,234,255,272,234,273,247,207,224,214,140,261
000517-color.png 347,289,146,296,104,257,251,236,256,274,234,274,247,208,223,215,140,264
000523-color.png 348,287,147,295,104,256,251,234,256,272,235,273,247,206,224,214,140,263
000529-color.png 349,282,148,292,105,253,252,230,258,268,236,269,248,202,224,210,141,259
